id,tweet_text,label
79,"The auction strategies of franchises vary quite a bit every year.",neutral
80,"Some overseas players opted out this season due to scheduling conflicts.",neutral
81,"IPL viewership data for 2024 is expected to be released next month.",neutral
82,"Several matches this season went to the last ball. Close finishes.",neutral
83,"This is the 17th season of the IPL since it started in 2008.",neutral
84,"KL Rahul had a quiet game tonight. He's been inconsistent this season.",neutral
85,"MI lost again tonight. They are really struggling to find their rhythm.",negative
86,"Ground conditions at this venue are just not suitable for T20 cricket.",negative
87,"The umpires gave three wrong decisions today. VAR equivalent needed in cricket.",negative
88,"IPL teams care only about money. Player welfare is completely ignored.",negative
89,"Watching RCB lose is painful. They find new ways to disappoint every year.",negative
90,"Utterly boring match tonight. Both teams played like they didn't want to win.",negative
91,"Hardik Pandya is getting booed every match. The team management needs to act.",negative
92,"Impact Player rule needs to be scrapped immediately. Ruining team balance.",negative
93,"Broadcasting quality this year has actually gotten worse. More buffering issues.",negative
94,"SRH's bowling was disgraceful in the last two overs. Absolutely no plan.",negative
95,"IPL is becoming too long. Playoff fatigue is real and fans are feeling it.",negative
96,"Crowd at this venue looked half empty. People are losing interest in IPL.",negative
97,"Another match with a lopsided score. Not entertaining at all.",negative
98,"LSG played without any strategy today. Poor captaincy from KL Rahul.",negative
99,"Ticket prices have gone up but the experience at grounds has gone down.",negative
100,"Way too many franchise changes every season. No continuity or team identity.",negative
